Date,Open,High,Low,Close,Adj Close,Volume
2010-08-03,3059.372070,3084.167969,2965.558105,2973.656006,2973.567871,4315831200
2010-08-04,2973.853027,3001.120117,2959.753906,2983.247070,2983.158447,3031377000
2010-08-05,2983.836914,3046.874023,2983.836914,3044.940918,3044.850586,3589204800
2010-08-06,3045.431885,3062.683105,3031.426025,3060.593018,3060.502197,2784466400
2010-08-09,3057.548096,3082.784912,3056.174072,3082.597900,3082.506348,2448763000
2010-08-10,3082.990967,3083.288086,3047.218994,3057.160889,3057.070068,2391926400
2010-08-11,3054.635986,3061.877930,3022.496094,3035.318115,3035.228027,2877985600
2010-08-12,3034.238037,3034.238037,2993.769043,3025.644043,3025.554199,2585167600
2010-08-13,3025.742920,3053.565918,3025.742920,3053.010010,3052.919434,2248365000
2010-08-16,3052.910889,3059.040039,3032.425049,3052.599121,3052.508545,2600551000
2010-08-18,3053.355957,3072.827881,3045.221924,3072.086914,3071.995605,3513428400
2010-08-19,3072.477051,3118.373047,3072.477051,3105.350098,3105.258057,5727421600
2010-08-20,3103.365967,3118.652100,3084.986084,3117.719971,3117.627441,4463237600
2010-08-23,3117.427002,3129.656982,3107.763916,3128.733887,3128.640869,5515091200
2010-08-24,3128.437988,3145.114990,3099.915039,3114.938965,3114.846436,4902163200
2010-08-25,3114.743896,3140.158936,3102.514893,3138.909912,3138.816650,6586856800
2010-08-26,3138.519043,3150.158936,3128.870117,3145.135010,3145.041748,6942336800
2010-08-27,3145.037109,3145.037109,3089.689941,3104.732910,3104.640869,4818587600
2010-08-30,3105.220947,3138.488037,3089.641113,3099.564941,3099.472900,3823649600
2010-08-31,3098.770996,3099.750977,3058.051025,3081.884033,3081.792480,3599096400
2010-09-01,3081.487061,3135.540039,3081.487061,3135.315918,3135.222900,3826286000
2010-09-02,3135.707031,3159.724121,3105.808105,3122.148926,3122.056396,4005498000
2010-09-03,3122.246094,3164.362061,3122.246094,3164.277100,3164.183350,46251000
2010-09-06,3164.472900,3217.366943,3164.472900,3217.147949,3217.052490,2843547600
2010-09-07,3217.539063,3239.454102,3214.195068,3230.887939,3230.791992,3683510400
2010-09-15,3232.079102,3360.053955,3232.079102,3357.031982,3356.932373,4683331200
2010-09-16,3357.129883,3358.121094,3317.794922,3341.632080,3341.532959,5094340800
2010-09-17,3341.436035,3390.555908,3341.436035,3384.653076,3384.552734,0
2010-09-20,3384.555908,3392.059082,3344.900879,3370.981934,3370.882080,1028151700
2010-09-21,3371.470947,3405.849121,3342.204102,3365.037109,3364.937256,1009834800
2010-09-22,3365.134033,3380.204102,3332.269043,3343.343018,3343.243652,1122463500
2010-09-23,3343.832031,3351.387939,3313.312012,3337.197021,3337.097900,7510500800
2010-09-24,3338.710938,3400.562988,3331.858887,3397.625977,3397.525146,4981127200
2010-09-27,3397.821045,3472.029053,3397.821045,3468.035889,3467.932861,6052123600
2010-09-28,3468.231934,3524.315918,3455.500977,3472.707031,3472.604004,6181092400
2010-09-29,3473.292969,3513.355957,3473.292969,3495.464111,3495.360352,6119049600
2010-09-30,3495.760010,3514.769043,3487.712891,3501.295898,3501.192139,5577425600
2010-10-01,3501.198975,3550.034912,3501.198975,3547.114990,3547.009766,0
2010-10-04,3547.310059,3594.366943,3547.310059,3569.498047,3569.392090,5636847200
2010-10-05,3569.594971,3592.091064,3553.086914,3591.695068,3591.588379,6835521600
2010-10-06,3592.083984,3630.385986,3582.251953,3603.404053,3603.297119,8123225600
2010-10-07,3603.500000,3605.534912,3540.612061,3586.186035,3586.079590,6481204800
2010-10-08,3585.895020,3585.895020,3532.013916,3546.954102,3546.848877,0
2010-10-11,3547.721924,3575.239014,3536.513916,3548.746094,3548.640625,5449612800
2010-10-12,3548.938965,3565.407959,3535.783936,3547.248047,3547.142822,6448737600
2010-10-13,3549.469971,3611.979004,3547.980957,3611.979004,3611.871826,8522408800
2010-10-14,3612.170898,3645.610107,3603.000977,3618.478027,3618.370605,6636547200
